Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrTimeBlk,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2010,1,1,11,1,2010-01-11,AA,N351AA,2448,LAX,"Los Angeles, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1350,1349.0,-1.0,0.0,0.0,1300-1359,15.0,1404.0,1849.0,5.0,1845,1854.0,9.0,9.0,0.0,1800-1859,175.0,185.0,165.0,1235.0,5,0.0,0.0,0.0,0.0,0.0
2006,4,10,28,6,2006-10-28,B6,N536JB,745,MCO,"Orlando, FL",FL,SJU,"San Juan, PR",PR,1545,1546.0,1.0,1.0,0.0,1500-1559,14.0,1600.0,1824.0,6.0,1830,1830.0,0.0,0.0,0.0,1800-1859,165.0,164.0,144.0,1189.0,5,0.0,0.0,0.0,0.0,0.0
2008,4,11,13,4,2008-11-13,OO,N292UX,5788,LAS,"Las Vegas, NV",NV,FAT,"Fresno, CA",CA,1642,1641.0,-1.0,0.0,0.0,1600-1659,19.0,1700.0,1825.0,4.0,1813,1829.0,16.0,16.0,1.0,1800-1859,91.0,108.0,85.0,258.0,2,0.0,0.0,16.0,0.0,0.0
2005,4,10,12,3,2005-10-12,US,N770UW,434,CLT,"Charlotte, NC",NC,MSP,"Minneapolis, MN",MN,1900,1858.0,-2.0,0.0,0.0,1900-1959,12.0,1910.0,2036.0,7.0,2039,2043.0,4.0,4.0,0.0,2000-2059,159.0,165.0,146.0,930.0,4,0.0,0.0,0.0,0.0,0.0
2018,2,4,6,5,2018-04-06,HA,N481HA,556,HNL,"Honolulu, HI",HI,OGG,"Kahului, HI",HI,2105,2115.0,10.0,10.0,0.0,2100-2159,14.0,2129.0,2151.0,6.0,2145,2157.0,12.0,12.0,0.0,2100-2159,40.0,42.0,22.0,100.0,1,0.0,0.0,0.0,0.0,0.0
2007,3,7,24,2,2007-07-24,B6,N553JB,702,SJU,"San Juan, PR",PR,JFK,"New York, NY",NY,1050,1047.0,-3.0,0.0,0.0,1000-1059,13.0,1100.0,1417.0,9.0,1446,1426.0,-20.0,0.0,0.0,1400-1459,236.0,219.0,197.0,1597.0,7,0.0,0.0,0.0,0.0,0.0
2012,1,1,5,4,2012-01-05,WN,N525SW,28,DAL,"Dallas, TX",TX,TUL,"Tulsa, OK",OK,1420,1423.0,3.0,3.0,0.0,1400-1459,10.0,1433.0,1514.0,3.0,1515,1517.0,2.0,2.0,0.0,1500-1559,55.0,54.0,41.0,237.0,1,0.0,0.0,0.0,0.0,0.0
2011,1,1,25,2,2011-01-25,DL,N527US,1140,ATL,"Atlanta, GA",GA,MSY,"New Orleans, LA",LA,2200,2214.0,14.0,14.0,0.0,2200-2259,15.0,2229.0,2241.0,5.0,2241,2246.0,5.0,5.0,0.0,2200-2259,101.0,92.0,72.0,425.0,2,0.0,0.0,0.0,0.0,0.0
2007,3,9,23,7,2007-09-23,CO,N32404,1094,LAX,"Los Angeles, CA",CA,IAH,"Houston, TX",TX,50,42.0,-8.0,0.0,0.0,0001-0559,18.0,100.0,547.0,6.0,558,553.0,-5.0,0.0,0.0,0001-0559,188.0,191.0,167.0,1379.0,6,0.0,0.0,0.0,0.0,0.0
2004,3,8,29,7,2004-08-29,TZ,N312TZ,668,MDW,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,1424,1423.0,-1.0,0.0,0.0,1400-1459,12.0,1435.0,1632.0,8.0,1647,1640.0,-7.0,0.0,0.0,1600-1659,143.0,137.0,117.0,797.0,4,0.0,0.0,0.0,0.0,0.0
